description,color1,color2,color3,color4,likes,url,pastel,vintage,retro,neon,gold,light,dark,warm,cold,summer,fall,winter,spring,happy,nature,earth,night,space,rainbow,gradient,sunset,sky,sea,kids,skin,food,cream,coffee,wedding,christmas,halloween
"pastel, light, summer, nature, gradient, cream",#99BC85, #BFD8AF, #D4E7C5, #E1F0DA,1687, https://colorhunt.co//palette/e1f0dad4e7c5bfd8af99bc85,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"pastel, light, spring, skin, cream, wedding",#E6A4B4, #F3D7CA, #FFF8E3, #F5EEE6,3213, https://colorhunt.co//palette/f5eee6fff8e3f3d7cae6a4b4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"pastel, vintage, earth, food",#638889, #9DBC98, #EBD9B4, #F9EFDB,2536, https://colorhunt.co//palette/f9efdbebd9b49dbc98638889,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"pastel, vintage, light, summer, spring, happy, nature",#FDFFAB, #FFCF81, #FFB996, #D9EDBF,1813, https://colorhunt.co//palette/d9edbfffb996ffcf81fdffab,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pastel, light, nature, gradient, kids, wedding",#F9F7C9, #D5F0C1, #AAD9BB, #80BCBD,2667, https://colorhunt.co//palette/80bcbdaad9bbd5f0c1f9f7c9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"pastel, light, sky",#E5E1DA, #FBF9F1, #AAD7D9, #92C7CF,3349, https://colorhunt.co//palette/92c7cfaad7d9fbf9f1e5e1da,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"pastel, warm, gradient, sunset, sky, kids",#FFE5E5, #E0AED0, #AC87C5, #756AB6,4001, https://colorhunt.co//palette/756ab6ac87c5e0aed0ffe5e5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
"pastel, light, spring, happy, rainbow, kids",#F6D6D6, #F6F7C4, #A1EEBD, #7BD3EA,2376, https://colorhunt.co//palette/7bd3eaa1eebdf6f7c4f6d6d6,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"pastel, vintage, light, nature, earth, kids, food, cream, wedding",#CD8D7A, #DBCC95, #EAECCC, #C3E2C2,2359, https://colorhunt.co//palette/c3e2c2eaecccdbcc95cd8d7a,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
"pastel, light, summer, nature, earth, kids, food, cream",#F2F1EB, #EEE7DA, #AFC8AD, #88AB8E,4655, https://colorhunt.co//palette/88ab8eafc8adeee7daf2f1eb,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"pastel, summer, nature, kids",#B1C381, #EEC759, #FFF7D4, #9BB8CD,2257, https://colorhunt.co//palette/9bb8cdfff7d4eec759b1c381,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"pastel, kids",#8ACDD7, #F9F9E0, #FFC0D9, #FF90BC,4354, https://colorhunt.co//palette/ff90bcffc0d9f9f9e08acdd7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"pastel, retro, rainbow, kids",#B06161, #DC8686, #F0DBAF, #7ED7C1,2273, https://colorhunt.co//palette/7ed7c1f0dbafdc8686b06161,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"pastel, vintage, light, spring, happy, nature, kids",#89B9AD, #C7DCA7, #FFEBD8, #FFC5C5,6487, https://colorhunt.co//palette/ffc5c5ffebd8c7dca789b9ad,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"pastel, vintage, fall, gradient, cream, coffee",#776B5D, #B0A695, #EBE3D5, #F3EEEA,8720, https://colorhunt.co//palette/f3eeeaebe3d5b0a695776b5d,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
